gaia_source_id,hyg_id,constellation
5.836217242289971e+18,117881,Phe
4.464029101537276e+18,117861,Peg
5.78188033961343e+18,117877,Tuc
4.4642401390510577e+18,117950,Peg
6.680591663496089e+18,117923,Phe
4.464239692374462e+18,117950,Peg
4.4641426948322806e+18,117861,Peg
5.800597841473873e+18,117954,Tuc
6.680589258314402e+18,117923,Phe
6.680580634020078e+18,117923,Phe
6.680588914717022e+18,117923,Phe
4.464177879204532e+18,117861,Peg
5.800578909257098e+18,117954,Tuc
5.836222499330596e+18,117881,Phe
4.4641761268579594e+18,117861,Peg
4.4640196526092227e+18,117950,Peg
6.725829282753996e+18,117944,Scl
6.680577644722831e+18,117923,Phe
4.4642403795692283e+18,117950,Peg
5.78187972113814e+18,117877,Tuc
5.942447898169723e+18,119613,Phe
5.942433462744429e+18,119613,Phe
5.942424670986146e+18,119613,Phe
5.942432397589845e+18,119613,Phe
2.0651071760015772e+18,117901,And
5.408463204157728e+18,117887,Phe
6.003862700654415e+18,119613,Phe
5.833507117879981e+18,117878,Tuc
6.003848166485322e+18,117923,Phe
2.0472173659186286e+18,117948,And
2.0472237568299594e+18,117948,And
2.0216709348138132e+18,117899,Peg
2.0651064200873244e+18,117901,And
2.0651005789321795e+18,117901,And
1.8723216590495716e+18,117929,And
2.0472184654130606e+18,117948,And
2.0216641315853023e+18,117899,Peg
2.0650954550316485e+18,117901,And
2.065079791290309e+18,117901,And
2.0651018845945938e+18,117901,And
5.408420838599511e+18,117887,Phe
5.800587327393759e+18,117954,Tuc
5.781868932180128e+18,117877,Tuc
6.680691856493e+18,117944,Scl
6.680767482277293e+18,117944,Scl
5.781831651863528e+18,117877,Tuc
5.800591068302183e+18,117954,Tuc
5.781831651863528e+18,117877,Tuc
4.464226566954247e+18,117950,Peg
5.836231673381854e+18,117881,Phe
6.68057812575916e+18,117923,Phe
5.781854672888779e+18,117877,Tuc
5.781816224340872e+18,117877,Tuc
6.680775556815785e+18,117944,Scl
5.781858074502877e+18,117877,Tuc
4.464139705535038e+18,117861,Peg
4.46421598415483e+18,117950,Peg
4.4640383786667187e+18,117861,Peg
5.781817255133021e+18,117877,Tuc
4.4642176334222715e+18,117950,Peg
5.800603957510126e+18,117954,Tuc
4.464217736501486e+18,117950,Peg
4.4642270136308475e+18,117950,Peg
4.46402370705843e+18,117861,Peg
5.800587052515721e+18,117954,Tuc
6.680696804295392e+18,117944,Scl
2.065089721254294e+18,117901,And
2.065078966656556e+18,117901,And
2.0650956998492547e+18,117901,And
1.872317089204631e+18,117929,And
1.8723215559703562e+18,117929,And
4.1503712820904863e+18,117879,Cet
5.408458565592841e+18,117887,Phe
6.003885408140344e+18,119613,Phe
1.8722981569876908e+18,117929,And
1.8722897044922322e+18,117929,And
